,prod_cat,prod_cat_number,mu,sigma,mu_SE,sigma_SE,mu_upper,sigma_upper,mu_lower,sigma_lower
13,FOOD PROCESSOR,2053,2.068316973161038,1.0441275743562168,0.02304406494399813,0.01629461458800427,2.113482510508676,1.076557878562176,2.0231514358133995,1.012674202883587
14,TV AND GAMING-RELATED ACCESSORIES,1075,2.218862379774492,0.759184722645458,0.02315491696435747,0.016372998803288,2.264245183089648,0.7919630957829975,2.1734795764593358,0.727763005836054
15,HANDHELD ENTERTAINMENT DEVICE,429,2.232804693391492,1.015138409079543,0.04901134423623539,0.034656253864411,2.328865162928408,1.0853874651603417,2.136744223854576,0.9494360517940122
16,LAMP,2190,2.4006980611646416,1.0780694561067534,0.02303693433306384,0.016289572484658645,2.445849622771661,1.1104738910843603,2.3555464995576223,1.0466106060858467
17,IRON,1149,1.7735648796236423,0.8205433418619226,0.024207030171520812,0.01711695518439382,1.8210097869324975,0.8547872327253799,1.726119972314787,0.7876713059075864
18,FLAT SCREEN,420,1.8331836049880834,0.612674630252522,0.029895460817857596,0.02113928307100326,1.8917776314923127,0.6555399155012667,1.7745895784838541,0.5726122752846149
19,HAIR DRYER,380,2.006296590231859,0.8632583098058195,0.044284216905919514,0.03131367007175555,2.093092060451021,0.9268663018813169,1.9195011200126968,0.8040155391734409
20,PORTABLE RADIO,1984,2.4584351334979986,0.9982822984612245,0.022412099215388906,0.015847747335827105,2.5023620407780993,1.0298315867772934,2.414508226217898,0.9676995347750375
21,DIGITAL COMPACT CAMERA,199,2.002808613067959,0.7876059779987622,0.05583190747555313,0.03947912037629019,2.1122371409082157,0.8689121736559938,1.8933800852277023,0.7139077980336541
22,KETTLE,939,1.606948161652187,0.84965370700291,0.027727400814643182,0.01960623314071161,1.6612928686337942,0.888963453470233,1.5526034546705798,0.8120822279090014
23,COFFEE MAKER,3495,1.6908399304873891,0.7411585903590484,0.01253682479672163,0.008864873828309531,1.7154116555694523,0.7587386819763045,1.666268205405326,0.7239858321605473
24,BATTERY/CHARGER/ADAPTER,521,1.824891556432388,0.9028919507537165,0.03955641455332491,0.02797060896981749,1.9024207043144408,0.9594118489159261,1.7473624085503352,0.8497016955304347
25,LARGE HOME ELECTRICAL,976,1.981877494554947,0.8204609712793786,0.026262315717331255,0.01857026153338698,2.0333506875115366,0.8576774040154346,1.9304043015983576,0.7848594381070895
26,TABLET,628,1.5351135604828667,0.7219604623131399,0.0288093588038149,0.020371292971800663,1.591578866156036,0.7630121531890839,1.4786482548096975,0.6831174404822832
27,PROJECTOR,131,3.2089434751810715,0.7876750658096151,0.06881949003286107,0.048662728015269274,3.3438271970798925,0.8890670290872658,3.0740597532822505,0.6978461567010641
28,VACUUM,3684,1.8235319079285401,0.8029313226172697,0.013228743308501989,0.009354134098553122,1.8494597683739293,0.8214760032130378,1.797604047483151,0.7848052850214846
29,SMALL KITCHEN ITEM,2181,1.8354088481095883,0.9609814472055153,0.02057724224992745,0.014550307533049504,1.875739501820602,0.989926894137028,1.7950781943985745,0.9328823646904327
30,DSLR/VIDEO CAMERA,135,2.5202113490543576,0.8961817540489379,0.07713104463569972,0.05453988470190545,2.6713854186302806,1.0097144554487516,2.3690372794784347,0.7954147154734823
31,PAPER SHREDDER,243,1.5451249506097564,0.9268701754872708,0.059458749480156836,0.04204368495824183,1.6616619581566534,1.013048397510417,1.4285879430628594,0.848022981250479
32,MISC,546,2.0868743857193714,1.029779454915568,0.044070492270328596,0.03116254392949699,2.173250963350166,1.092704555031054,2.0004978080885767,0.9704779950661662
33,WATCH/CLOCK,1113,2.7773057707601896,1.198078890696444,0.035911854606619685,0.025393515917304096,2.847691712407203,1.2488975082184002,2.706919829113176,1.1493281225134835
34,MUSICAL INSTRUMENT,152,2.379778883780581,0.9972581463248813,0.0808883168655261,0.057196677231312845,2.538317071607076,1.1159053228965954,2.2212406959540862,0.8912259759007308
35,DECORATIVE OR SAFETY LIGHTS,654,1.8315231968293362,1.1118882094645381,0.043478269561665464,0.030743779222245866,1.9167390392803245,1.1738075575896294,1.7463073543783478,1.0532351596755294
36,DESKTOP COMPUTER,326,2.0413227054543275,0.7270362244714864,0.040266812275616445,0.028472935992025803,2.120244207286771,0.7850398000386433,1.9624012036218839,0.6733183103171768
37,GAMES CONSOLE,171,1.8556285110963397,0.9147374183316966,0.06995171870847641,0.04946333465336939,1.9927313604216301,1.0170074931322497,1.7185256617710494,0.8227516022709664
38,FAN,358,1.8283416466181919,0.9688063551724633,0.05120300690101564,0.03620599339545075,1.9286976960443383,1.0424323350949949,1.7279855971920455,0.9003805064594638
39,AIRCON/DEHUMIDIFIER,152,1.4819285153712558,0.8938091069687746,0.07249749177604618,0.05126346805383142,1.624020988221795,1.0001486015190366,1.3398360425207165,0.7987760203703211
