Image,Brand,Model,Category,Page,Img Score,Vision Score
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-22-230x350.png,Huawei P30,MAR-LX1A,Smartphones,4,,5.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-37-230x350.png,Maxcom,–,Smartphones,4,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-36-230x350.png,XIAOMI,XIAOMIREDMINO9PG,Smartphones,4,,7.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-35-230x350.png,OnePlus,ONEPLUS N100,Smartphones,4,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-34-230x350.png,XIAOMI,POCO F2 (128 Go),Smartphones,4,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-32-230x350.png,MOTOROLA,Moto G100,Smartphones,5,,7.4
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/8-a-10-18-230x350.png,SAMSUNG,SM-G780F,Smartphones,5,,8.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-31-230x350.png,XIAOMI,XIA6941059634621,Smartphones,5,,7.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-30-230x350.png,XIAOMI,Redmi Note 10S,Smartphones,5,,7.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/8-a-10-14-230x350.png,Samsung,SM-G780F,Smartphones,5,,8.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-29-230x350.png,XIAOMI,XIAOMIREDMINO9PB,Smartphones,5,,7.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-21-230x350.png,APPLE,A2221,Smartphones,5,,4.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-19-230x350.png,Huawei P40 lite,HUAWEIP40LITJMI,Smartphones,5,,5.4
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/4-a-59-13-3-230x350.png,Huawei,HUAPSMARTGREEN,Smartphones,5,,5.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-17-230x350.png,APPLE,A2221,Smartphones,5,,4.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/4-a-59-1-5-230x350.png,Huawei,Y6PMB64,Smartphones,5,,5.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/06/4-a-59-1-5-230x350.png,Huawei Y6p,HUAWEIY6PPP64,Smartphones,5,,5.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-16-230x350.png,APPLE,A2105,Smartphones,5,,4.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-15-230x350.png,APPLE,A2105,Smartphones,5,,4.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/4-a-59-13-230x350.png,Huawei nova 5T,–,Smartphones,5,,5.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/08/6-a-79-28-230x350.png,XIAOMI,Redmi 8,Smartphones,5,,7.1
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/8-a-12-230x350.png,ATHESI,3760310040307,Smartphones,1,,8.9
https://www.indicereparabilite.fr/wp-content/uploads/2022/03/6-a-79-18-230x350.png,QILIVE,600091627,Smartphones,1,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2022/01/8-a-10-5-230x350.png,ATHESI,RT55,Smartphones,1,,9
https://www.indicereparabilite.fr/wp-content/uploads/2022/01/8-a-10-4-230x350.png,ATHESI,E5L,Smartphones,1,,8.6
https://www.indicereparabilite.fr/wp-content/uploads/2022/01/8-a-10-2-230x350.png,SPECTRALINK,Versity 9553,Smartphones,1,,8.1
https://www.indicereparabilite.fr/wp-content/uploads/2022/01/8-a-10-3-230x350.png,SPECTRALINK,Versity 9653,Smartphones,1,,8.1
https://www.indicereparabilite.fr/wp-content/uploads/2022/01/8-a-10-3-230x350.png,SPECTRALINK,Versity 9640,Smartphones,1,,8.1
https://www.indicereparabilite.fr/wp-content/uploads/2022/01/8-a-10-2-230x350.png,SPECTRALINK,Versity 9540,Smartphones,1,,8.1
https://www.indicereparabilite.fr/wp-content/uploads/2022/01/8-a-10-1-230x350.png,SPECTRALINK,Versity 9253,Smartphones,1,,8.1
https://www.indicereparabilite.fr/wp-content/uploads/2022/01/8-a-10-230x350.png,SPECTRALINK,Versity 9240,Smartphones,1,,8.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/11/6-a-79-1-230x350.png,Google,Pixel 6 PRO,Smartphones,1,,6.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/11/6-a-79-230x350.png,Google,Pixel 6,Smartphones,1,,6.4
https://www.indicereparabilite.fr/wp-content/uploads/2021/10/6-a-79-1-230x350.png,Kapsys,Minivision2,Smartphones,1,,6
https://www.indicereparabilite.fr/wp-content/uploads/2021/10/6-a-79-230x350.png,Kapsys,Smartvision2,Smartphones,1,,7.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/10/8-a-10-1-230x350.png,Fairphone,FP4,Smartphones,1,,9.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/10/8-a-10-230x350.png,Fairphone,FP4,Smartphones,1,,9.2
https://www.indicereparabilite.fr/wp-content/uploads/2022/09/6-a-79-230x350.png,CORSAIR,A1600,Laptop,1,,7
https://www.indicereparabilite.fr/wp-content/uploads/2022/09/8-a-11-230x350.png,WHY!,NH57ADS,Laptop,1,,9.8
https://www.indicereparabilite.fr/wp-content/uploads/2022/02/8-a-11-1-230x350.png,WHY!,NK50SZ,Laptop,1,,9.5
https://www.indicereparabilite.fr/wp-content/uploads/2022/01/8-a-10-6-230x350.png,FRAMEWORK,FRANBP0000,Laptop,1,,9.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/12/8-a-10-3-230x350.png,WHY!,P775DM3-G,Laptop,1,,9.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/12/8-a-10-2-230x350.png,WHY!,NV41MZ-i7,Laptop,1,,9.8
https://www.indicereparabilite.fr/wp-content/uploads/2021/12/8-a-10-1-230x350.png,WHY!,NV41MZ-i5,Laptop,1,,9.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/12/8-a-10-230x350.png,WHY!,N240WU,Laptop,1,,9.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/10/6-a-79-29-230x350.png,RAZER,RZ09-0409CFD3-R3F1,Laptop,1,,7.4
https://www.indicereparabilite.fr/wp-content/uploads/2021/10/6-a-79-29-230x350.png,RAZER,RZ09-0367BFC3-R3F1,Laptop,1,,7.4
https://www.indicereparabilite.fr/wp-content/uploads/2021/09/6-a-79-28-230x350.png,RAZER,RZ09-0367CF53-R3F1,Laptop,1,,7.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/09/6-a-79-28-230x350.png,RAZER,RZ09-0367BFD3-R3F1,Laptop,1,,7.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/09/6-a-79-230x350.png,RAZEN,RZ09-0367CFC3-R3F1,Laptop,1,,7.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/2-a-396-230x350.png,MICROSOFT,HNN-00005,Laptop,1,,3.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-599-230x350.png,MICROSOFT,VGZ-00006,Laptop,1,,4.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/05/4-a-59-230x350.png,MICROSOFT,V4C-00006,Laptop,1,,4.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/2-a-392-1-230x350.png,MICROSOFT,SLK-00006,Laptop,2,,3.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-5912-230x350.png,MICROSOFT,VGZ-00027,Laptop,2,,4.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame37-230x350.png,MAIBENBEN,–,Laptop,2,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame23-1-230x350.png,MAIBENBEN,–,Laptop,2,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame22-1-230x350.png,MAIBENBEN,–,Laptop,2,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-5911-230x350.png,KUU,–,Laptop,2,,5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/8-a-103-230x350.png,LENOVO,–,Laptop,2,,9
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/8-a-102-230x350.png,LENOVO,–,Laptop,2,,9
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/8-a-10-230x350.png,LENOVO,–,Laptop,2,,9
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-5910-230x350.png,MICROSOFT,–,Laptop,2,,5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/2-a-392-1-230x350.png,MICROSOFT,SMN-00006,Laptop,2,,3.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/2-a-395-230x350.png,MICROSOFT,HNL-00005,Laptop,2,,3.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-599-230x350.png,MICROSOFT,VGY-00006,Laptop,2,,4.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame34-230x350.png,ASUS,ZG15GA502IV062,Laptop,2,,6
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame32-230x350.png,APPLE,MVH22FNA,Laptop,2,,6.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/2-a-394-230x350.png,MICROSOFT,THJ-00039,Laptop,2,,3.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/2-a-392-1-230x350.png,MICROSOFT,SLZ-00006,Laptop,3,,3.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/2-a-392-230x350.png,MICROSOFT,V6F-00006,Laptop,3,,3.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-596-230x350.png,ASUS,C423NABV0051V2,Laptop,3,,5.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame30-230x350.png,ASUS,FA506IU,Laptop,3,,6.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/2-a-393-230x350.png,MICROSOFT,THJ-00028,Laptop,3,,3.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame29-230x350.png,APPLE,MWP42FN/A,Laptop,3,,6.2
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-598-230x350.png,KUU,–,Laptop,3,,5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame28-230x350.png,MECHREVO,–,Laptop,3,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/05/2-a-39-230x350.png,MICROSOFT,SKW-00006,Laptop,3,,3.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/2-a-391-230x350.png,MICROSOFT,THJ-00007,Laptop,3,,3.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame27-230x350.png,APPLE,MVVJ2FN/A,Laptop,3,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame26-230x350.png,ASUS,FA706IU,Laptop,3,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame25-230x350.png,ASUS,X712JA,Laptop,3,,6.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/4-a-596-230x350.png,ASUS,C423NABV0051V2,Laptop,3,,5.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame24-230x350.png,MAIBENBEN,MAIBENBEN,Laptop,3,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame23-230x350.png,MAIBENBEN,MAIBENBEN,Laptop,3,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame21-230x350.png,MAIBENBEN,MAIBENBEN,Laptop,4,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame22-230x350.png,MAIBENBEN,–,Laptop,4,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/07/Frame21-230x350.png,MAIBENBEN,–,Laptop,4,,7
https://www.indicereparabilite.fr/wp-content/uploads/2021/05/2-a-39-2-230x350.png,MICROSOFT,Surface DUO,Laptop,4,,3.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/05/4-a-59-1-230x350.png,MICROSOFT,Surface Laptop 4,Laptop,4,,4.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/05/4-a-59-230x350.png,MICROSOFT,Surface Laptop 3,Laptop,4,,4.1
https://www.indicereparabilite.fr/wp-content/uploads/2021/05/2-a-39-1-230x350.png,MICROSOFT,Surface Laptop GO,Laptop,4,,3.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/05/2-a-39-230x350.png,MICROSOFT,Surface Book 2 & Book 3,Laptop,4,,3.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-7-1-230x350.png,ASUS,G713QR-HG026T,Laptop,4,,7.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-7-1-230x350.png,ASUS,G533QR-HF009T,Laptop,4,,7.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-6-1-230x350.png,ASUS,GX735LWS-74T,Laptop,4,,6.5
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-5-2-230x350.png,ASUS,?,Laptop,4,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-4-2-230x350.png,ASUS,GX550LXS-29T,Laptop,4,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-4-2-230x350.png,ASUS,GX550LWS-32T,Laptop,4,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-4-2-230x350.png,ASUS,GX550LWS-54T,Laptop,4,,6.7
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/6-a-79-3-2-230x350.png,ASUS,GA401IU-110T,Laptop,4,,6.6
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-4-230x350.png,ASUS,C433TA-AJ0043,Laptop,5,,5.3
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-7-1-230x350.png,ASUS,C436FA-E10011,Laptop,5,,5.9
https://www.indicereparabilite.fr/wp-content/uploads/2021/03/4-a-59-3-1-230x350.png,ASUS,TUF505DT-BQ007T,Laptop,5,,5.2
